movieId,title_x,genres,matched_title,title_y,popularity,keywords,release_date
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,Toy Story,Toy Story,111.892,martial arts-jealousy-friendship-bullying-elementary school-friends-rivalry-rescue-mission-buddy-walkie talkie-toy car-boy next door-new toy-neighborhood-toy comes to life-resourcefulness,1995-10-30
2,Jumanji (1995),Adventure|Children|Fantasy,Jumanji,Jumanji,18.642,giant insect-board game-disappearance-jungle-recluse-stampede-based on young adult novel,1995-12-15
3,Grumpier Old Men (1995),Comedy|Romance,Grumpier Old Men,Grumpier Old Men,11.879,fishing-halloween-sequel-old man-best friend-wedding-italian restaurant-old friends-duringcreditsstinger-pranks,1995-12-22
4,Waiting to Exhale (1995),Comedy|Drama|Romance,Waiting to Exhale,Waiting to Exhale,14.013,based on novel or book-interracial relationship-single mother-divorce,1995-12-22
5,Father of the Bride Part II (1995),Comedy,Father of the Bride Part II,Father of the Bride Part II,11.959,parent child relationship-baby-midlife crisis-confidence-pregnancy-aging-daughter-sequel-remake-los angeles california-contraception-gynecologist,1995-12-08
6,Heat (1995),Action|Crime|Thriller,ECW Heat Wave 1995,ECW Heat Wave 1995,0.882,,1995-07-15
7,Sabrina (1995),Comedy|Romance,Sabrina,Sabrina,26.293,,2018-07-12
7,Sabrina (1995),Comedy|Romance,Sabrina,Sabrina,20.16,sibling relationship-chauffeur-champagne-playboy-love-teenage crush-millionaire-high society-manhattan new york city-impossible love-family disapproval,1954-09-10
7,Sabrina (1995),Comedy|Romance,Sabrina,Sabrina,14.645,paris france-sibling relationship-chauffeur-long island new york-fusion-millionaire,1995-12-15
7,Sabrina (1995),Comedy|Romance,Sabrina,Sabrina,1.34,,1975-07-09
7,Sabrina (1995),Comedy|Romance,Sabrina,Sabrina,1.093,,2011-02-18
7,Sabrina (1995),Comedy|Romance,Sabrina,Sabrina,0.626,,
7,Sabrina (1995),Comedy|Romance,Sabrina,Sabrina,0.618,,2020-07-23
7,Sabrina (1995),Comedy|Romance,Sabrina,Sabrina,0.6,based on graphic novel,
7,Sabrina (1995),Comedy|Romance,Sabrina,Sabrina,0.6,,2022-01-29
8,Tom and Huck (1995),Adventure|Children,Tom and Huck,Tom and Huck,10.008,mississippi river-based on novel or book-male friendship,1995-12-22
8,Tom and Huck (1995),Adventure|Children,Tom and Huck,Tom and Huck,1.4,,2012-08-02
9,Sudden Death (1995),Action,Sudden Death,Sudden Death,15.152,terrorist-hostage-explosive-ice hockey-vice president-pittsburgh pennsylvania-pittsburgh penguins,1995-10-27
9,Sudden Death (1995),Action,Sudden Death,Sudden Death,1.4,safari-hunting,1995-01-01
9,Sudden Death (1995),Action,Sudden Death,Sudden Death,0.847,helicopter-explosion,1977-05-01
9,Sudden Death (1995),Action,Sudden Death,Sudden Death,0.661,,2021-11-07
9,Sudden Death (1995),Action,Sudden Death,Sudden Death,0.6,,2021-05-02
10,GoldenEye (1995),Action|Adventure|Thriller,GoldenEye,GoldenEye,22.872,cuba-falsely accused-secret identity-computer virus-secret base-secret intelligence service-kgb-satellite-special car-cossack-electromagnetic pulse-time bomb-st. petersburg russia-red army,1995-11-16
11,"American President, The (1995)",Comedy|Drama|Romance,The American President,The American President,14.389,the white house-usa president-new love-widower-wildlife conservation,1995-11-17
12,Dracula: Dead and Loving It (1995),Comedy|Horror,Dracula: Dead and Loving It,Dracula: Dead and Loving It,26.843,vampire-spoof-dracula,1995-12-22
13,Balto (1995),Adventure|Animation|Children,Balto,Balto,17.096,wolf-pet-dog-sledding race-alaska-dog-goose-bear attack-dog sled-pets,1995-12-22
13,Balto (1995),Adventure|Animation|Children,Balto,Balto,1.121,winter-husky-alaska-sled dogs-journey-balto-talking animals,1997-01-01
13,Balto (1995),Adventure|Animation|Children,Balto,Balto,0.699,winter-husky-alaska-sled dogs-journey-balto-talking animals,1997-01-01
14,Nixon (1995),Drama,Passion 1995,Passion 1995,0.679,,1995-03-09
15,Cutthroat Island (1995),Action|Adventure|Romance,Cutthroat Island,Cutthroat Island,14.277,exotic island-treasure-map-island-ship-scalp-sword fight-betrayal-treasure map-pirate-heroine-swashbuckler-adventurer-pirate ship-17th century,1995-12-22
16,Casino (1995),Crime|Drama,Passion 1995,Passion 1995,0.679,,1995-03-09
17,Sense and Sensibility (1995),Drama|Romance,Sense and Sensibility,Sense and Sensibility,41.86,secret love-london england-countryside-based on novel or book-widow-military officer-servant-country life-pneumonia-inheritance-period drama-rainstorm-decorum-horse carriage-young love-dowry-19th century-penniless-social elite-bloodletting-free spirited-sussex-1800s-sisters love-social classes-marry for money-secret engagement-devonshire england,1995-12-13
17,Sense and Sensibility (1995),Drama|Romance,Sense and Sensibility,Sense and Sensibility,1.158,,1971-01-01
18,Four Rooms (1995),Comedy,Four Rooms,Four Rooms,41.855,hotel-new year's eve-witch-bet-hotel room-sperm-anthology-los angeles california-hoodlum-multiple storylines-woman director,1995-12-09
19,Ace Ventura: When Nature Calls (1995),Comedy,Ace Ventura: When Nature Calls,Ace Ventura: When Nature Calls,23.382,kidnapping-africa-indigenous-human animal relationship-bat-stupidity-slapstick comedy-animal-pets,1995-11-10
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,Money Train,Money Train,11.459,new york city-sibling relationship-subway-new york subway-train robbery,1995-11-21
21,Get Shorty (1995),Comedy|Crime|Thriller,Get Shorty,Get Shorty,13.778,gambling-miami florida-based on novel or book-gangster-murder-travel-mafia-money-debt-mobster-business-hollywood-drugs-producer-con,1995-10-20
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,Copycat,Copycat,13.524,police brutality-psychology-police operation-police protection-serial killer-psychologist-cowardliness,1995-05-03
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,Copycat,Copycat,1.615,printer service-going out of business,2016-09-30
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,Copycat,Copycat,1.58,printer service-going out of business,2016-09-30
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,Copycat,Copycat,1.445,printer service-going out of business,2016-09-30
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,Copycat,Copycat,0.6,,2015-03-06
23,Assassins (1995),Action|Crime|Thriller,Assassins,Assassins,21.474,cia-bank-cat-mexican standoff-seattle usa-hitman-mission of murder-hidden camera-rivalry-rescue-shootout-police chase-sniper rifle-detroit michigan-silencer-double cross-caribbean sea-assassinos [1995],1995-10-06
23,Assassins (1995),Action|Crime|Thriller,Assassins,Assassins,7.193,assassination-north korea,2021-08-12
23,Assassins (1995),Action|Crime|Thriller,Assassins,Assassins,2.113,,2014-08-10
23,Assassins (1995),Action|Crime|Thriller,Assassins,Assassins,1.495,,2014-08-10
23,Assassins (1995),Action|Crime|Thriller,Assassins,Assassins,0.6,,2009-10-07
24,Powder (1995),Drama|Sci-Fi,Powder,Powder,16.497,shot to death-teenage boy-held at gunpoint-teacher student relationship-albino-fainting-christ allegory-psionic power-healing power-flickering light-extrasensory perception-pale,1995-10-27
24,Powder (1995),Drama|Sci-Fi,Powder,Powder,9.829,,2019-11-08
24,Powder (1995),Drama|Sci-Fi,Powder,Powder,0.824,,2012-05-04
24,Powder (1995),Drama|Sci-Fi,Powder,Powder,0.6,,2010-11-11
24,Powder (1995),Drama|Sci-Fi,Powder,Powder,0.6,,2010-09-09
25,Leaving Las Vegas (1995),Drama|Romance,Leaving Las Vegas,Leaving Las Vegas,19.152,individual-prostitute-alcohol-casino-love at first sight-lovesickness-movie business-screenwriter-hotel room-dying and death-rage and hate-unsociability-alcoholism-los angeles california-las vegas-alcohol abuse,1995-10-27
26,Othello (1995),Drama,Othello,Othello,8.58,jealousy-friends-the moors (people),1995-12-15
26,Othello (1995),Drama,Othello,Othello,5.888,husband wife relationship-victim-love-murder-interracial marriage-tragic love-handkerchief-resentment-jealous husband-father daughter conflict-mistrust of wife,1951-11-27
26,Othello (1995),Drama,Othello,Othello,2.623,interracial relationship-based on play or musical-shakespeare in modern dress,2001-12-23
26,Othello (1995),Drama,Othello,Othello,2.552,love-tragedy-cyprus-the moors (people),1965-12-15
26,Othello (1995),Drama,Othello,Othello,1.586,,2015-10-03
26,Othello (1995),Drama,Othello,Othello,1.4,,2003-01-01
26,Othello (1995),Drama,Othello,Othello,1.4,jealousy-jealous husband-the moors (people),1955-12-15
26,Othello (1995),Drama,Othello,Othello,1.198,,1981-01-01
26,Othello (1995),Drama,Othello,Othello,1.155,,2015-10-03
26,Othello (1995),Drama,Othello,Othello,1.136,woman director,1980-01-01
26,Othello (1995),Drama,Othello,Othello,1.02,jealousy-based on play or musical-tragedy,1990-06-23
26,Othello (1995),Drama,Othello,Othello,0.653,jealousy-live theatre,2020-05-30
26,Othello (1995),Drama,Othello,Othello,0.6,,1914-05-18
26,Othello (1995),Drama,Othello,Othello,0.6,,1909-11-18
26,Othello (1995),Drama,Othello,Othello,0.6,,1958-10-08
26,Othello (1995),Drama,Othello,Othello,0.6,,1968-10-26
26,Othello (1995),Drama,Othello,Othello,0.6,,2017-03-31
26,Othello (1995),Drama,Othello,Othello,0.6,,
26,Othello (1995),Drama,Othello,Othello,0.6,,2016-08-01
26,Othello (1995),Drama,Othello,Othello,0.6,,1997-12-13
26,Othello (1995),Drama,Othello,Othello,0.6,,1989-12-27
26,Othello (1995),Drama,Othello,Othello,0.6,jealousy-live theatre,2020-05-30
27,Now and Then (1995),Children|Drama,Now and Then,Now and Then,14.226,1970s-female friendship-coming of age-gynecologist-photocopier-truth or dare-woman director,1995-10-20
27,Now and Then (1995),Children|Drama,Now and Then,Now and Then,0.6,,2019-09-26
27,Now and Then (1995),Children|Drama,Now and Then,Now and Then,0.6,,1985-01-01
28,Persuasion (1995),Drama|Romance,Passion 1995,Passion 1995,0.679,,1995-03-09
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,The City of Lost Children,The City of Lost Children,15.775,clone-dream-island-eye-dystopia-aging-friendship-steampunk-rescue-childhood-child kidnapping-flea,1995-08-17
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,Yabo dake ga ai o korosu 3: Game no kisoku,Yabo dake ga ai o korosu 3: Game no kisoku,0.6,,1995-03-03
31,Dangerous Minds (1995),Drama,Dangerous Minds,Dangerous Minds,27.697,high school-california-rap music-karate-naval officer-teacher-based on memoir or autobiography-amusement park-schoolteacher,1995-08-11
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,Twelve Monkeys,Twelve Monkeys,37.383,biological weapon-philadelphia pennsylvania-schizophrenia-stockholm syndrome-airplane-underground-insanity-asylum-paranoia-prison cell-dystopia-pimp-lion-post-apocalyptic future-time travel-florida keys-mental breakdown-past-dormitory-insane asylum-cockroach-volunteer-drug use-flashback-remake-psychiatric hospital-jail-mental institution-alternate history-disease-lethal virus-paradox-psychiatrist-monkey-epidemic-trapped-falling down stairs-street life-nonlinear timeline-medical research-tooth-pantyhose-gas mask-psychosis-child's point of view-subterranean-virus-recurring dream-1990s-escaped animal-future noir-2030s-cassandra syndrome-bullet-endless loop-stream-vivisection-nude pantyhose-microbiologist-real movie shown in fictional situation-kick in face-eating spider-reference to houdini-abandoned theater-tied to a bed-psychiatric care-hiding in a barn-reference to cassandra-biblical quote-person in a car trunk-watching a movie-world war one-lab animal-cassandra complex,1995-12-29
34,Babe (1995),Children|Drama,WCW Slamboree 1995,WCW Slamboree 1995,1.768,wrestling,1995-05-21
36,Dead Man Walking (1995),Crime|Drama,Dead Man Walking,Dead Man Walking,13.343,prison-rape-nun-socially deprived family-penalty-death penalty-despair-death row-therapist-self-discovery-prison cell-court case-death sentence-doomed man-sentence-lethal injection-forgiveness-charity-mercy petition-rage and hate-unsociability-right and justice-court-cowardliness,1995-12-29
36,Dead Man Walking (1995),Crime|Drama,Dead Man Walking,Dead Man Walking,1.582,kidnapping-mercenary-post-apocalyptic future-russian roulette-plague,1988-09-15
36,Dead Man Walking (1995),Crime|Drama,Dead Man Walking,Dead Man Walking,0.6,,
36,Dead Man Walking (1995),Crime|Drama,Dead Man Walking,Dead Man Walking,0.6,stripper-sexual murder-mystery-crime scene-copycat killer,2016-08-04
36,Dead Man Walking (1995),Crime|Drama,Dead Man Walking,Dead Man Walking,0.6,bosnian war-return from dead-missing in action,2006-11-15
36,Dead Man Walking (1995),Crime|Drama,Dead Man Walking,Dead Man Walking,0.6,,
38,It Takes Two (1995),Children|Comedy,It Takes Two,It Takes Two,18.36,matchmaking-orphan-identical twin-relationship sabotage,1995-11-17
38,It Takes Two (1995),Children|Comedy,It Takes Two,It Takes Two,6.22,,1988-07-13
38,It Takes Two (1995),Children|Comedy,It Takes Two,It Takes Two,1.338,,1982-07-15
38,It Takes Two (1995),Children|Comedy,It Takes Two,It Takes Two,0.93,,1982-07-15
38,It Takes Two (1995),Children|Comedy,It Takes Two,It Takes Two,0.6,,2021-09-24
39,Clueless (1995),Comedy|Romance,Clueless,Clueless,28.372,based on novel or book-puberty-high school-make a match-spoiled child-coming of age-conflict-wedding-woman director-gay,1995-10-20
39,Clueless (1995),Comedy|Romance,Clueless,Clueless,0.904,,2001-03-22
39,Clueless (1995),Comedy|Romance,Clueless,Clueless,0.73,comedian-slapstick comedy-film in film-film industry,2010-06-02
39,Clueless (1995),Comedy|Romance,Clueless,Clueless,0.6,remake,
39,Clueless (1995),Comedy|Romance,Clueless,Clueless,0.6,board game-killer-group of friends,2021-09-10
40,"Cry, the Beloved Country (1995)",Drama,"Cry, the Beloved Country","Cry, the Beloved Country",2.673,based on novel or book-minister-south africa-apartheid-johannesburg south africa-missing person,1951-11-16
40,"Cry, the Beloved Country (1995)",Drama,"Cry, the Beloved Country","Cry, the Beloved Country",2.544,based on novel or book-south africa-apartheid-priest-1940s-race relations,1995-12-15
41,Richard III (1995),Drama|War,Richard III,Richard III,12.659,england-kidnapping-murder-king,1995-12-29
41,Richard III (1995),Drama|War,Richard III,Richard III,5.053,england-coronation-betrayal-based on play or musical-king-hunchback-tower of london-15th century-british monarchy,1955-12-13
