movieId,title,genres,matched_title
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,Toy Story
2,Jumanji (1995),Adventure|Children|Fantasy,Jumanji
3,Grumpier Old Men (1995),Comedy|Romance,Grumpier Old Men
4,Waiting to Exhale (1995),Comedy|Drama|Romance,Waiting to Exhale
5,Father of the Bride Part II (1995),Comedy,Father of the Bride Part II
6,Heat (1995),Action|Crime|Thriller,ECW Heat Wave 1995
7,Sabrina (1995),Comedy|Romance,Sabrina
8,Tom and Huck (1995),Adventure|Children,Tom and Huck
9,Sudden Death (1995),Action,Sudden Death
10,GoldenEye (1995),Action|Adventure|Thriller,GoldenEye
11,"American President, The (1995)",Comedy|Drama|Romance,The American President
12,Dracula: Dead and Loving It (1995),Comedy|Horror,Dracula: Dead and Loving It
13,Balto (1995),Adventure|Animation|Children,Balto
14,Nixon (1995),Drama,Passion 1995
15,Cutthroat Island (1995),Action|Adventure|Romance,Cutthroat Island
16,Casino (1995),Crime|Drama,Passion 1995
17,Sense and Sensibility (1995),Drama|Romance,Sense and Sensibility
18,Four Rooms (1995),Comedy,Four Rooms
19,Ace Ventura: When Nature Calls (1995),Comedy,Ace Ventura: When Nature Calls
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,Money Train
21,Get Shorty (1995),Comedy|Crime|Thriller,Get Shorty
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,Copycat
23,Assassins (1995),Action|Crime|Thriller,Assassins
24,Powder (1995),Drama|Sci-Fi,Powder
25,Leaving Las Vegas (1995),Drama|Romance,Leaving Las Vegas
26,Othello (1995),Drama,Othello
27,Now and Then (1995),Children|Drama,Now and Then
28,Persuasion (1995),Drama|Romance,Passion 1995
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,The City of Lost Children
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,Yabo dake ga ai o korosu 3: Game no kisoku
31,Dangerous Minds (1995),Drama,Dangerous Minds
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,Twelve Monkeys
34,Babe (1995),Children|Drama,WCW Slamboree 1995
36,Dead Man Walking (1995),Crime|Drama,Dead Man Walking
38,It Takes Two (1995),Children|Comedy,It Takes Two
39,Clueless (1995),Comedy|Romance,Clueless
40,"Cry, the Beloved Country (1995)",Drama,"Cry, the Beloved Country"
41,Richard III (1995),Drama|War,Richard III
42,Dead Presidents (1995),Action|Crime|Drama,Dead Presidents
43,Restoration (1995),Drama,Restoration
44,Mortal Kombat (1995),Action|Adventure|Fantasy,Mortal Kombat
45,To Die For (1995),Comedy|Drama|Thriller,To Die For
46,How to Make an American Quilt (1995),Drama|Romance,How to Make an American Quilt
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,AJW Zenjo Queendom 1995
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,Pocahontas
49,When Night Is Falling (1995),Drama|Romance,When Night Is Falling
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,The Usual Suspects
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,Mighty Aphrodite
53,Lamerica (1994),Adventure|Drama,Lamerica
54,"Big Green, The (1995)",Children|Comedy,The Big Green
55,Georgia (1995),Drama,Georgia
57,Home for the Holidays (1995),Drama,Home for the Holidays
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,The Postman
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,The Indian in the Cupboard
61,Eye for an Eye (1996),Drama|Thriller,Eye for an Eye
62,Mr. Holland's Opus (1995),Drama,Mr. Holland's Opus
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
64,Two if by Sea (1996),Comedy|Romance,Two If by Sea
65,Bio-Dome (1996),Comedy,Bio-Dome
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,Lawnmower Man 2: Beyond Cyberspace
68,French Twist (Gazon maudit) (1995),Comedy|Romance,French Twist
69,Friday (1995),Comedy,Friday
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,From Dusk Till Dawn
71,Fair Game (1995),Action,Fair Game
72,Kicking and Screaming (1995),Comedy|Drama,Kicking and Screaming
73,"Misérables, Les (1995)",Drama|War,Les Miserables
74,Bed of Roses (1996),Drama|Romance,Bed of Roses
75,Big Bully (1996),Comedy|Drama,Big Bully
76,Screamers (1995),Action|Sci-Fi|Thriller,Screamers
77,Nico Icon (1995),Documentary,Nico Icon
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,The Crossing Guard
79,"Juror, The (1996)",Drama|Thriller,The Juror
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,The White Balloon
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,Things to Do in Denver When You're Dead
82,Antonia's Line (Antonia) (1995),Comedy|Drama,Antonia's Line
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,Once Upon a Time in Beirut
85,Angels and Insects (1995),Drama|Romance,Angels and Insects
86,White Squall (1996),Action|Adventure|Drama,White Squall
87,Dunston Checks In (1996),Children|Comedy,Dunston Checks In
88,Black Sheep (1996),Comedy,Black Sheep
89,Nick of Time (1995),Action|Thriller,Nick of Time
92,Mary Reilly (1996),Drama|Horror|Thriller,Mary Reilly
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,Vampire in Brooklyn
94,Beautiful Girls (1996),Comedy|Drama|Romance,Beautiful Girls
95,Broken Arrow (1996),Action|Adventure|Thriller,Broken Arrow
96,In the Bleak Midwinter (1995),Comedy|Drama,In the Bleak Midwinter
97,"Hate (Haine, La) (1995)",Crime|Drama,ECW Heat Wave 1995
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,Heidi Fleiss: Hollywood Madam
100,City Hall (1996),Drama|Thriller,City Hall
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,Bottle Rocket
102,Mr. Wrong (1996),Comedy,Mr. Wrong
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,Unforgettable
104,Happy Gilmore (1996),Comedy,Happy Gilmore
105,"Bridges of Madison County, The (1995)",Drama|Romance,The Bridges of Madison County
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,Nobody Loves Me
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,Muppet Treasure Island
108,Catwalk (1996),Documentary,ECW Heat Wave 1996
110,Braveheart (1995),Action|Drama|War,Braveheart
111,Taxi Driver (1976),Crime|Drama|Thriller,Taxi Driver
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,Rumble in the Bronx
113,Before and After (1996),Drama|Mystery,Before and After
116,Anne Frank Remembered (1995),Documentary,Anne Frank Remembered
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,The Young Poisoner's Handbook
118,If Lucy Fell (1996),Comedy|Romance,If Lucy Fell
119,"Steal Big, Steal Little (1995)",Comedy,Steal Big Steal Little
121,"Boys of St. Vincent, The (1992)",Drama,The Boys of St. Vincent
122,Boomerang (1992),Comedy|Romance,Boomerang
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,Chungking Express
125,Flirting With Disaster (1996),Comedy,Flirting with Disaster
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,The NeverEnding Story III
128,Jupiter's Wife (1994),Documentary,Winter 1994
129,Pie in the Sky (1996),Comedy|Romance,Pie in the Sky
132,Jade (1995),Thriller,Vale Tudo Japan 1995
135,Down Periscope (1996),Comedy,Down Periscope
137,Man of the Year (1995),Documentary,Man of the Story
140,Up Close and Personal (1996),Drama|Romance,Up Close & Personal
141,"Birdcage, The (1996)",Comedy,The Birdcage
144,"Brothers McMullen, The (1995)",Comedy,The Brothers McMullen
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,Bad Boys
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,The Amazing Panda Adventure
147,"Basketball Diaries, The (1995)",Drama,The Basketball Diaries
148,"Awfully Big Adventure, An (1995)",Drama,An Awfully Big Adventure
149,Amateur (1994),Crime|Drama|Thriller,Amateur
150,Apollo 13 (1995),Adventure|Drama|IMAX,Apollo 13
151,Rob Roy (1995),Action|Drama|Romance|War,Rob Roy
152,"Addiction, The (1995)",Drama|Horror,The Addiction
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,Batman Forever
154,Beauty of the Day (Belle de jour) (1967),Drama,The Trail of the Broken Blade
155,Beyond Rangoon (1995),Adventure|Drama|War,Beyond Rangoon
156,Blue in the Face (1995),Comedy|Drama,Blue in the Face
157,Canadian Bacon (1995),Comedy|War,Canadian Bacon
158,Casper (1995),Adventure|Children,Casper
159,Clockers (1995),Crime|Drama|Mystery,Clockers
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,Congo
161,Crimson Tide (1995),Drama|Thriller|War,Crimson Tide
162,Crumb (1994),Documentary,Winter 1994
163,Desperado (1995),Action|Romance|Western,Desperado
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,Devil in a Blue Dress
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,Die Hard: With a Vengeance
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,The Doom Generation
168,First Knight (1995),Action|Drama|Romance,First Knight
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,Free Willy 2: The Adventure Home
170,Hackers (1995),Action|Adventure|Crime|Thriller,Hackers 95
171,Jeffrey (1995),Comedy|Drama,Jeffrey
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,Johnny Mnemonic
173,Judge Dredd (1995),Action|Crime|Sci-Fi,Judge Dredd
174,Jury Duty (1995),Comedy,Jury Duty
175,Kids (1995),Drama,Kids
176,Living in Oblivion (1995),Comedy,Living in Oblivion
177,Lord of Illusions (1995),Horror,Lord of Illusions
178,Love & Human Remains (1993),Comedy|Drama,Brian May - Live in Barcelona 1993
179,Mad Love (1995),Drama|Romance,Mad Love
180,Mallrats (1995),Comedy|Romance,Mallrats
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,Mighty Morphin Power Rangers: The Movie
183,Mute Witness (1994),Comedy|Horror|Thriller,Winter 1994
184,Nadja (1994),Drama,Nadja
185,"Net, The (1995)",Action|Crime|Thriller,The Net
186,Nine Months (1995),Comedy|Romance,Nine Months
187,Party Girl (1995),Comedy,Party Girl
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,The Prophecy
189,Reckless (1995),Comedy|Fantasy,Reckless
190,Safe (1995),Thriller,WCW Slamboree 1995
191,"Scarlet Letter, The (1995)",Drama|Romance,The Scarlet Letter
193,Showgirls (1995),Drama,Showgirls
194,Smoke (1995),Comedy|Drama,WCW Slamboree 1995
195,Something to Talk About (1995),Comedy|Drama|Romance,Something to Talk About
196,Species (1995),Horror|Sci-Fi,Species
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,Strange Days
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,The Umbrellas of Cherbourg
201,Three Wishes (1995),Drama|Fantasy,Three Wishes
202,Total Eclipse (1995),Drama|Romance,Total Eclipse
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,"To Wong Foo, Thanks for Everything! Julie Newmar"
204,Under Siege 2: Dark Territory (1995),Action,Under Siege 2: Dark Territory
205,Unstrung Heroes (1995),Comedy|Drama,Unstrung Heroes
206,Unzipped (1995),Documentary,Unzipped
207,"Walk in the Clouds, A (1995)",Drama|Romance,A Walk in the Clouds
208,Waterworld (1995),Action|Adventure|Sci-Fi,Waterworld
209,White Man's Burden (1995),Drama,White Man's Burden
210,Wild Bill (1995),Western,Wild Bill
211,"Browning Version, The (1994)",Drama,The Browning Version
212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery,Bushwhacked
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,Burnt by the Sun
214,Before the Rain (Pred dozhdot) (1994),Drama|War,Before the Rain
215,Before Sunrise (1995),Drama|Romance,Before Sunrise
216,Billy Madison (1995),Comedy,Billy Madison
217,"Babysitter, The (1995)",Drama|Thriller,The Babysitter
218,Boys on the Side (1995),Comedy|Drama,Boys on the Side
219,"Cure, The (1995)",Drama,The Cure
220,Castle Freak (1995),Horror,Castle Freak
222,Circle of Friends (1995),Drama|Romance,Circle of Friends
223,Clerks (1994),Comedy,Clerks
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,"Down, Out and Dangerous"
225,Disclosure (1994),Drama|Thriller,Disclosure
227,Drop Zone (1994),Action|Thriller,Drop Zone
228,Destiny Turns on the Radio (1995),Comedy,Destiny Turns on the Radio
229,Death and the Maiden (1994),Drama|Thriller,Death and the Maiden
230,Dolores Claiborne (1995),Drama|Thriller,Dolores Claiborne
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,Dumb and Dumber
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,Eat Drink Man Woman
233,Exotica (1994),Drama,Exotica
234,Exit to Eden (1994),Comedy,Exit to Eden
235,Ed Wood (1994),Comedy|Drama,Ed Wood
236,French Kiss (1995),Action|Comedy|Romance,French Kiss
237,Forget Paris (1995),Comedy|Romance,Forget Paris
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,Far from Home: The Adventures of Yellow Dog
239,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,A Goofy Movie
240,Hideaway (1995),Thriller,Hideaway
241,Fluke (1995),Children|Drama,Fluke
242,Farinelli: il castrato (1994),Drama|Musical,Tour de France 1994
243,Gordy (1995),Children|Comedy|Fantasy,Gordy
246,Hoop Dreams (1994),Documentary,Hoop Dreams
247,Heavenly Creatures (1994),Crime|Drama,Heavenly Creatures
248,Houseguest (1994),Comedy,"Holidaze, 1994"
249,Immortal Beloved (1994),Drama|Romance,Immortal Beloved
250,Heavyweights (Heavy Weights) (1995),Children|Comedy,Heavyweights
251,"Hunted, The (1995)",Action,The Hunted
252,I.Q. (1994),Comedy|Romance,I.Q.
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,Interview with the Vampire
254,Jefferson in Paris (1995),Drama,Jefferson in Paris
255,"Jerky Boys, The (1995)",Comedy,The Jerky Boys
256,Junior (1994),Comedy|Sci-Fi,Junior
257,Just Cause (1995),Mystery|Thriller,Just Cause
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,A Kid in King Arthur's Court
259,Kiss of Death (1995),Crime|Drama|Thriller,Kiss of Death
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,Neil Diamond : Live At the Greek Theatre 1976
261,Little Women (1994),Drama,Little Women
262,"Little Princess, A (1995)",Children|Drama,A Little Princess
263,Ladybird Ladybird (1994),Drama,Ladybird Ladybird
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance,Like Water for Chocolate
266,Legends of the Fall (1994),Drama|Romance|War|Western,Legends of the Fall
267,Major Payne (1995),Comedy,Major Payne
269,My Crazy Life (Mi vida loca) (1993),Drama,Brian May - Live in Barcelona 1993
270,Love Affair (1994),Drama|Romance,Love Affair
271,Losing Isaiah (1995),Drama,Losing Isaiah
272,"Madness of King George, The (1994)",Comedy|Drama,The Madness of King George
273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi,Mary Shelley's Frankenstein
274,Man of the House (1995),Comedy,Man of the House
275,Mixed Nuts (1994),Comedy,Mixed Nuts
276,Milk Money (1994),Comedy|Romance,Milk Money
277,Miracle on 34th Street (1994),Drama,Miracle on 34th Street
278,Miami Rhapsody (1995),Comedy,Miami Rhapsody
279,My Family (1995),Drama,My Family
280,Murder in the First (1995),Drama|Thriller,Murder in the First
281,Nobody's Fool (1994),Comedy|Drama|Romance,Nobody's Fool
282,Nell (1994),Drama,Winter 1994
283,New Jersey Drive (1995),Crime|Drama,New Jersey Drive
284,New York Cop (Nyû Yôku no koppu) (1993),Action|Crime,New York Cop
285,Beyond Bedlam (1993),Drama|Horror,Brian May - Live in Barcelona 1993
287,Nina Takes a Lover (1994),Comedy|Romance,The 3 Tenors in Concert 1994
288,Natural Born Killers (1994),Action|Crime|Thriller,Natural Born Killers
289,Only You (1994),Comedy|Romance,Only You
290,Once Were Warriors (1994),Crime|Drama,Once Were Warriors
291,Poison Ivy II (1996),Drama|Thriller,Poison Ivy 2: Lily
292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller,Outbreak
