movieId,title_x,genres,matched_title,title_y,popularity,keywords,release_date
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,Toy Story,Toy Story,111.892,martial arts-jealousy-friendship-bullying-elementary school-friends-rivalry-rescue-mission-buddy-walkie talkie-toy car-boy next door-new toy-neighborhood-toy comes to life-resourcefulness,1995-10-30
2,Jumanji (1995),Adventure|Children|Fantasy,Jumanji,Jumanji,18.642,giant insect-board game-disappearance-jungle-recluse-stampede-based on young adult novel,1995-12-15
3,Grumpier Old Men (1995),Comedy|Romance,Grumpier Old Men,Grumpier Old Men,11.879,fishing-halloween-sequel-old man-best friend-wedding-italian restaurant-old friends-duringcreditsstinger-pranks,1995-12-22
4,Waiting to Exhale (1995),Comedy|Drama|Romance,Waiting to Exhale,Waiting to Exhale,14.013,based on novel or book-interracial relationship-single mother-divorce,1995-12-22
5,Father of the Bride Part II (1995),Comedy,Father of the Bride Part II,Father of the Bride Part II,11.959,parent child relationship-baby-midlife crisis-confidence-pregnancy-aging-daughter-sequel-remake-los angeles california-contraception-gynecologist,1995-12-08
6,Heat (1995),Action|Crime|Thriller,ECW Heat Wave 1995,ECW Heat Wave 1995,0.882,,1995-07-15
7,Sabrina (1995),Comedy|Romance,Sabrina,Sabrina,26.293,,2018-07-12
8,Tom and Huck (1995),Adventure|Children,Tom and Huck,Tom and Huck,10.008,mississippi river-based on novel or book-male friendship,1995-12-22
9,Sudden Death (1995),Action,Sudden Death,Sudden Death,15.152,terrorist-hostage-explosive-ice hockey-vice president-pittsburgh pennsylvania-pittsburgh penguins,1995-10-27
10,GoldenEye (1995),Action|Adventure|Thriller,GoldenEye,GoldenEye,22.872,cuba-falsely accused-secret identity-computer virus-secret base-secret intelligence service-kgb-satellite-special car-cossack-electromagnetic pulse-time bomb-st. petersburg russia-red army,1995-11-16
11,"American President, The (1995)",Comedy|Drama|Romance,The American President,The American President,14.389,the white house-usa president-new love-widower-wildlife conservation,1995-11-17
12,Dracula: Dead and Loving It (1995),Comedy|Horror,Dracula: Dead and Loving It,Dracula: Dead and Loving It,26.843,vampire-spoof-dracula,1995-12-22
13,Balto (1995),Adventure|Animation|Children,Balto,Balto,17.096,wolf-pet-dog-sledding race-alaska-dog-goose-bear attack-dog sled-pets,1995-12-22
14,Nixon (1995),Drama,Passion 1995,Passion 1995,0.679,,1995-03-09
15,Cutthroat Island (1995),Action|Adventure|Romance,Cutthroat Island,Cutthroat Island,14.277,exotic island-treasure-map-island-ship-scalp-sword fight-betrayal-treasure map-pirate-heroine-swashbuckler-adventurer-pirate ship-17th century,1995-12-22
16,Casino (1995),Crime|Drama,Passion 1995,Passion 1995,0.679,,1995-03-09
17,Sense and Sensibility (1995),Drama|Romance,Sense and Sensibility,Sense and Sensibility,41.86,secret love-london england-countryside-based on novel or book-widow-military officer-servant-country life-pneumonia-inheritance-period drama-rainstorm-decorum-horse carriage-young love-dowry-19th century-penniless-social elite-bloodletting-free spirited-sussex-1800s-sisters love-social classes-marry for money-secret engagement-devonshire england,1995-12-13
18,Four Rooms (1995),Comedy,Four Rooms,Four Rooms,41.855,hotel-new year's eve-witch-bet-hotel room-sperm-anthology-los angeles california-hoodlum-multiple storylines-woman director,1995-12-09
19,Ace Ventura: When Nature Calls (1995),Comedy,Ace Ventura: When Nature Calls,Ace Ventura: When Nature Calls,23.382,kidnapping-africa-indigenous-human animal relationship-bat-stupidity-slapstick comedy-animal-pets,1995-11-10
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,Money Train,Money Train,11.459,new york city-sibling relationship-subway-new york subway-train robbery,1995-11-21
21,Get Shorty (1995),Comedy|Crime|Thriller,Get Shorty,Get Shorty,13.778,gambling-miami florida-based on novel or book-gangster-murder-travel-mafia-money-debt-mobster-business-hollywood-drugs-producer-con,1995-10-20
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,Copycat,Copycat,13.524,police brutality-psychology-police operation-police protection-serial killer-psychologist-cowardliness,1995-05-03
23,Assassins (1995),Action|Crime|Thriller,Assassins,Assassins,21.474,cia-bank-cat-mexican standoff-seattle usa-hitman-mission of murder-hidden camera-rivalry-rescue-shootout-police chase-sniper rifle-detroit michigan-silencer-double cross-caribbean sea-assassinos [1995],1995-10-06
24,Powder (1995),Drama|Sci-Fi,Powder,Powder,16.497,shot to death-teenage boy-held at gunpoint-teacher student relationship-albino-fainting-christ allegory-psionic power-healing power-flickering light-extrasensory perception-pale,1995-10-27
25,Leaving Las Vegas (1995),Drama|Romance,Leaving Las Vegas,Leaving Las Vegas,19.152,individual-prostitute-alcohol-casino-love at first sight-lovesickness-movie business-screenwriter-hotel room-dying and death-rage and hate-unsociability-alcoholism-los angeles california-las vegas-alcohol abuse,1995-10-27
26,Othello (1995),Drama,Othello,Othello,8.58,jealousy-friends-the moors (people),1995-12-15
27,Now and Then (1995),Children|Drama,Now and Then,Now and Then,14.226,1970s-female friendship-coming of age-gynecologist-photocopier-truth or dare-woman director,1995-10-20
28,Persuasion (1995),Drama|Romance,Passion 1995,Passion 1995,0.679,,1995-03-09
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,The City of Lost Children,The City of Lost Children,15.775,clone-dream-island-eye-dystopia-aging-friendship-steampunk-rescue-childhood-child kidnapping-flea,1995-08-17
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,Yabo dake ga ai o korosu 3: Game no kisoku,Yabo dake ga ai o korosu 3: Game no kisoku,0.6,,1995-03-03
31,Dangerous Minds (1995),Drama,Dangerous Minds,Dangerous Minds,27.697,high school-california-rap music-karate-naval officer-teacher-based on memoir or autobiography-amusement park-schoolteacher,1995-08-11
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,Twelve Monkeys,Twelve Monkeys,37.383,biological weapon-philadelphia pennsylvania-schizophrenia-stockholm syndrome-airplane-underground-insanity-asylum-paranoia-prison cell-dystopia-pimp-lion-post-apocalyptic future-time travel-florida keys-mental breakdown-past-dormitory-insane asylum-cockroach-volunteer-drug use-flashback-remake-psychiatric hospital-jail-mental institution-alternate history-disease-lethal virus-paradox-psychiatrist-monkey-epidemic-trapped-falling down stairs-street life-nonlinear timeline-medical research-tooth-pantyhose-gas mask-psychosis-child's point of view-subterranean-virus-recurring dream-1990s-escaped animal-future noir-2030s-cassandra syndrome-bullet-endless loop-stream-vivisection-nude pantyhose-microbiologist-real movie shown in fictional situation-kick in face-eating spider-reference to houdini-abandoned theater-tied to a bed-psychiatric care-hiding in a barn-reference to cassandra-biblical quote-person in a car trunk-watching a movie-world war one-lab animal-cassandra complex,1995-12-29
34,Babe (1995),Children|Drama,WCW Slamboree 1995,WCW Slamboree 1995,1.768,wrestling,1995-05-21
36,Dead Man Walking (1995),Crime|Drama,Dead Man Walking,Dead Man Walking,13.343,prison-rape-nun-socially deprived family-penalty-death penalty-despair-death row-therapist-self-discovery-prison cell-court case-death sentence-doomed man-sentence-lethal injection-forgiveness-charity-mercy petition-rage and hate-unsociability-right and justice-court-cowardliness,1995-12-29
38,It Takes Two (1995),Children|Comedy,It Takes Two,It Takes Two,18.36,matchmaking-orphan-identical twin-relationship sabotage,1995-11-17
39,Clueless (1995),Comedy|Romance,Clueless,Clueless,28.372,based on novel or book-puberty-high school-make a match-spoiled child-coming of age-conflict-wedding-woman director-gay,1995-10-20
40,"Cry, the Beloved Country (1995)",Drama,"Cry, the Beloved Country","Cry, the Beloved Country",2.673,based on novel or book-minister-south africa-apartheid-johannesburg south africa-missing person,1951-11-16
41,Richard III (1995),Drama|War,Richard III,Richard III,12.659,england-kidnapping-murder-king,1995-12-29
42,Dead Presidents (1995),Action|Crime|Drama,Dead Presidents,Dead Presidents,13.345,vietnam-drug abuse-post-traumatic stress disorder (ptsd)-war veteran-redemption-loss of virginity-heist-money-revolutinoary-mercy killing-armored truck-bronx new york city-medic-1960s,1995-09-29
43,Restoration (1995),Drama,Restoration,Restoration,14.405,jealousy-medicine-fountain-court-wealth-spaniel-gloves-17th century-british monarchy,1995-12-29
44,Mortal Kombat (1995),Action|Adventure|Fantasy,Mortal Kombat,Mortal Kombat,110.478,saving the world-magic-ninja fighter-alternate dimension-shaolin monk-fighting-based on video game-martial arts tournament-gods-hand to hand combat,2021-04-07
45,To Die For (1995),Comedy|Drama|Thriller,To Die For,To Die For,13.43,adultery-based on novel or book-winter-obsession-new hampshire-mockumentary-narcissistic personality disorder,1995-09-22
46,How to Make an American Quilt (1995),Drama|Romance,How to Make an American Quilt,How to Make an American Quilt,9.119,wedding vows-marriage proposal-married couple-monogamy-advice-marriage-quilt-love-family holiday-extramarital affair-grandmother-woman director,1995-10-06
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,AJW Zenjo Queendom 1995,AJW Zenjo Queendom 1995,0.6,,1995-02-26
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,Pocahontas,Pocahontas,45.907,culture clash-forbidden love-colony-musical-gold rush-princess-native american-colonisation-virginia-star crossed lovers-intercultural relationship-based on myths legends or folklore-17th century-shamanism-animal sidekick,1995-06-14
49,When Night Is Falling (1995),Drama|Romance,When Night Is Falling,When Night Is Falling,9.51,professor-lgbt-woman director-lesbian,1995-02-01
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,The Usual Suspects,The Usual Suspects,37.936,new york city-relatives-flashback-heist-police corruption-whodunit-theft-criminal-criminal mastermind-cargo ship-mind game-neo-noir-mystery villain-crime,1995-07-19
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,Mighty Aphrodite,Mighty Aphrodite,13.106,prostitute-adoption-adoptive father-childlessness-looking for  birth parents-adoptive mother-illegal prostitution-child,1995-09-13
53,Lamerica (1994),Adventure|Drama,Lamerica,Lamerica,3.379,,1994-09-09
54,"Big Green, The (1995)",Children|Comedy,The Big Green,The Big Green,6.967,sports-football (soccer)-woman director,1995-09-29
55,Georgia (1995),Drama,Georgia,Georgia,2.461,sibling relationship-alcohol-seattle usa-heroin-artist-singer-drugs-folk singer-sister sister relationship,1995-05-19
57,Home for the Holidays (1995),Drama,Home for the Holidays,Home for the Holidays,10.737,generations conflict-baltimore usa-thanksgiving-family clan-family conflict-woman director-christmas,1995-11-02
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,The Postman,The Postman,15.704,based on novel or book-anti hero-post-apocalyptic future-army-fictional war-fighting-alternate reality-future war-tyranny-mail carrier-tyrannical boss,1997-12-25
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,The Indian in the Cupboard,The Indian in the Cupboard,24.691,cupboard-games-puppet-based on children's book-parallel world-toy comes to life-toy soldier,1995-07-14
61,Eye for an Eye (1996),Drama|Thriller,Eye for an Eye,Eye for an Eye,24.645,rape-gun-self-defense-rape and revenge-grieving parents,1996-01-12
62,Mr. Holland's Opus (1995),Drama,Mr. Holland's Opus,Mr. Holland's Opus,14.691,husband wife relationship-composer-mentor-deaf-mute-portland oregon-music teacher-apprentice-high school-marching band-teacher student relationship-high school teacher-disabled-teaching-sign languages-father son relationship,1995-12-29
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,72.427,date-slang-hip-hop-gangster-cousin-parody-hood-gang-social satire-racism,1996-01-12
64,Two if by Sea (1996),Comedy|Romance,Two If by Sea,Two If by Sea,6.864,island-painting-thief-seasickness,1996-01-12
65,Bio-Dome (1996),Comedy,Bio-Dome,Bio-Dome,8.004,biotope-vegetarian-pollution-biosphere,1996-01-12
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,Lawnmower Man 2: Beyond Cyberspace,Lawnmower Man 2: Beyond Cyberspace,9.586,technology-hacker-virtual reality-computer-sword fight-revenge-cyberpunk-scientist-cyberspace-surveillance-based on short story-world domination-supernatural power,1996-01-12
68,French Twist (Gazon maudit) (1995),Comedy|Romance,French Twist,French Twist,12.84,estate agent-van-love triangle-southern france-menage a trois-polyamory-woman director,1995-01-18
69,Friday (1995),Comedy,Friday,Friday,42.278,rap music-parent child relationship-drug dealer-male friendship-rapper-urban life-slacker-bully-marijuana-pot smoking-los angeles california-drugs,1995-04-26
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,From Dusk Till Dawn,From Dusk Till Dawn,31.632,dancing-sibling relationship-showdown-sheriff-bank robber-vampire-holy water-siege-stripper-priest-bank robbery-preacher-hostage situation-crucifix-recreational vehicle-mexican american border-female stripping-boa constrictor-foot fetish-barefoot,1996-01-19
71,Fair Game (1995),Action,Fair Game,Fair Game,14.889,bomb-miami florida-spy-detective-handcuffs-based on novel or book-hostage-fbi-kidnapping-hacker-kgb-chase-sadism-parking garage-pizza-police protection-psychopath-remake-car crash-conspiracy-on the run-fugitive-shootout-gunfight-sadist-foot chase-police detective-police station-held at gunpoint-double cross-cult film-machine gun-grenade launcher-rogue agent-woman lawyer-damsel in distress,1995-11-03
72,Kicking and Screaming (1995),Comedy|Drama,Kicking and Screaming,Kicking and Screaming,9.044,male friendship-college-friendship-campus-video store-graduate,1995-10-06
73,"Misérables, Les (1995)",Drama|War,Les Miserables,Les Miserables,9.334,paris france-nun-boxer-lawyer,1995-03-22
74,Bed of Roses (1996),Drama|Romance,Bed of Roses,Bed of Roses,6.467,florist-family relationships,1996-01-26
75,Big Bully (1996),Comedy|Drama,Big Bully,Big Bully,8.076,bully,1996-01-26
76,Screamers (1995),Action|Sci-Fi|Thriller,Screamers,Screamers,9.03,man vs machine-alien planet-struggle for survival,1995-09-08
77,Nico Icon (1995),Documentary,Nico Icon,Nico Icon,2.52,,1995-02-18
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,The Crossing Guard,The Crossing Guard,8.757,loss of loved one-hit-and-run-revenge-tragedy,1995-11-15
79,"Juror, The (1996)",Drama|Thriller,The Juror,The Juror,11.887,jurors-blackmail-court case-son-trial-courtroom-courtroom drama-legal thriller,1996-02-02
